REGION_NUM,REGION_NAME,FOREST_NAME,RANGER_DISTRICT,CITY,STATE,LOCATION,Resource Types,Housing?,NOTES,SITE
6,Pacific Northwest,OKANOGAN-WENATCHEE,WENATCHEE RIVER,LEAVENWORTH,WA,"LEAVENWORTH, WA","Engine, Type 2/2IA Handcrew  (Dedicated 20+person) , Fuels, Prevention",YES,,http://www.fs.usda.gov/okawen
6,Pacific Northwest,OLYMPIC,HOOD CANAL,QUILCENE,WA,"QUILCENE, WA",,,,http://www.fs.usda.gov/olympic/
6,Pacific Northwest,OLYMPIC,PACIFIC,FORKS,WA,"FORKS, WA",,,,http://www.fs.usda.gov/olympic/
6,Pacific Northwest,OLYMPIC,PACIFIC,QUINAULT,WA,"QUINAULT, WA",,,,http://www.fs.usda.gov/olympic/
6,Pacific Northwest,UMATILLA,POMEROY,POMEROY,WA,"POMEROY, WA",,,,http://www.fs.usda.gov/umatilla
6,Pacific Northwest,UMATILLA,WALLA WALLA,WALLA WALLA,WA,"WALLA WALLA, WA","Engine, IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/umatilla
6,Pacific Northwest,WALLOWA-WHITMAN,HELLS CANYON NATIONAL RECREATION AREA,CLARKSTON,WA,"CLARKSTON, WA",,,,http://www.fs.usda.gov/wallowa-whitman
2,Rocky Mountain,BIGHORN,MEDICINE WHEEL,GREYBULL,WY,"GREYBULL, WY","Engine, Hotshot Crew",YES,RV Hookups plus bunkhouse or FEMA Trailers,http://www.fs.usda.gov/bighorn
2,Rocky Mountain,BIGHORN,POWDER RIVER,BUFFALO,WY,"BUFFALO, WY","WFM, ENGINE",YES,"Housing isn't great, Bunkhouse on the mountain, fairly expensive compared to living in town. There are also RV pads that shut down by sept due to snow. - Housing either at Hunter work Center or a house in town. Every year they tell us the house will be sold, but hasn't yet",http://www.fs.usda.gov/bighorn
2,Rocky Mountain,BIGHORN,TONGUE,SHERIDAN,WY,"SHERIDAN, WY","Engine, Prevention",YES,,http://www.fs.usda.gov/bighorn
2,Rocky Mountain,BLACK HILLS,BEARLODGE,SUNDANCE,WY,"SUNDANCE, WY",,,,http://www.fs.usda.gov/blackhills
2,Rocky Mountain,BLACK HILLS,HELL CANYON,NEWCASTLE,WY,"NEWCASTLE, WY",,,,http://www.fs.usda.gov/blackhills
2,Rocky Mountain,MEDICINE BOW-ROUTT,BRUSH CREEK-HAYDEN,SARATOGA,WY,"SARATOGA, WY",,,,http://www.fs.usda.gov/mbr
2,Rocky Mountain,MEDICINE BOW-ROUTT,DOUGLAS,DOUGLAS,WY,"DOUGLAS, WY",,,,http://www.fs.usda.gov/mbr
2,Rocky Mountain,MEDICINE BOW-ROUTT,LARAMIE,LARAMIE,WY,"LARAMIE, WY",,,,http://www.fs.usda.gov/mbr
2,Rocky Mountain,SHOSHONE,WAPITI,CODY,WY,"CODY, WY","Engine, WFM, Fuels",YES,housing 45 mins away no service,http://www.fs.usda.gov/shoshone
2,Rocky Mountain,SHOSHONE,WASHAKIE,LANDER,WY,"LANDER, WY","Engine, Fuels",YES,,http://www.fs.usda.gov/shoshone
