REGION,FOREST,DISTRICT,TOWN,STATE,LOCATION,Resource Types,Housing,NOTES,Site
"PACIFIC SOUTHWEST REGION, REGION 5",LASSEN NF,EAGLE LAKE RD,SUSANVILLE,CALIFORNIA,"SUSANVILLE,CALIFORNIA","Engine, Hotshot Crew, Prevention",YES,,http://www.fs.usda.gov/lassen
"PACIFIC SOUTHWEST REGION, REGION 5",SIERRA NF,HIGH SIERRA RD,TRIMMER,CALIFORNIA,"TRIMMER,CALIFORNIA",,,,http://www.fs.usda.gov/sierra/
"PACIFIC SOUTHWEST REGION, REGION 5",TAHOE NF,TRUCKEE RD,TRUCKEE,CALIFORNIA,"TRUCKEE,CALIFORNIA","Hotshot Crew, Engine",NO,,https://www.fs.usda.gov/tahoe/
"PACIFIC SOUTHWEST REGION, REGION 5",MODOC NF,DOUBLEHEAD RD,TULELAKE,CALIFORNIA,"TULELAKE,CALIFORNIA",,,,http://www.fs.usda.gov/modoc
"PACIFIC SOUTHWEST REGION, REGION 5",MENDOCINO NF,UPPER LAKE RD,UPPER LAKE,CALIFORNIA,"UPPER LAKE,CALIFORNIA","Engine, Hotshot Crew",YES,,http://www.fs.usda.gov/mendocino/
"PACIFIC SOUTHWEST REGION, REGION 5",SHASTA-TRINITY NF,WEAVERVILLE RD,WEAVERVILLE,CALIFORNIA,"WEAVERVILLE,CALIFORNIA",,,,http://www.fs.usda.gov/stnf/
"PACIFIC SOUTHWEST REGION, REGION 5",SIX RIVERS NF,LOWER TRINITY RD,WILLOW CREEK,CALIFORNIA,"WILLOW CREEK,CALIFORNIA",,,,http://www.fs.usda.gov/srnf/
"PACIFIC SOUTHWEST REGION, REGION 5",SIX RIVERS NF,LOWER TRINITY RD,SALYER,CALIFORNIA,"SALYER,CALIFORNIA",Engine,YES,"There are also barracks at Ti bar, Orleans and Oak Bottom as if last year. (All managed in the six rivers ORD) Gasquet should still have barracks but I haven't been there in a couple years.",http://www.fs.usda.gov/srnf/
"PACIFIC SOUTHWEST REGION, REGION 5",MENDOCINO NF,GRINDSTONE RD,WILLOWS,CALIFORNIA,"WILLOWS,CALIFORNIA",,,,http://www.fs.usda.gov/mendocino/
"PACIFIC SOUTHWEST REGION, REGION 5",ANGELES NF,LOS ANGELES GATEWAY RD,WRIGHTWOOD,CALIFORNIA,"WRIGHTWOOD,CALIFORNIA",,,,http://www.fs.usda.gov/angeles
"PACIFIC SOUTHWEST REGION, REGION 5",KLAMATH NF,HAPPY CAMP RD,YREKA,CALIFORNIA,"YREKA,CALIFORNIA",,,,http://www.fs.usda.gov/klamath
"PACIFIC SOUTHWEST REGION, REGION 5",SIX RIVERS NF,SO,EUREKA,CALIFORNIA,"EUREKA, CALIFORNIA",Engine,NO,,http://www.fs.usda.gov/srnf/
"PACIFIC SOUTHWEST REGION, REGION 5",SAN BERNARDINO NF,FRONT COUNTRY RD,MENTONE,CALIFORNIA,"MENTONE, CALIFORNIA","Engine, Hotshot Crew, DOZER",YES,,
